Date,Time,Exercise,# of Reps,Weight,Notes
5/6/2023,11:15,Shoulder Shrug,15,120,
5/6/2023,11:13,Pulldown,10,120,
5/6/2023,11:13,Pulldown,12,120,
5/6/2023,11:13,Pulldown,10,140,
5/6/2023,11:13,Pulldown,8,140,
5/6/2023,11:13,Pulldown,8,140,
5/6/2023,11:13,Pulldown,8,120,
5/6/2023,11:13,Pulldown,8,120,
5/6/2023,10:51,Triceps Extension,20,42.5,
5/6/2023,10:51,Triceps Extension,20,42.5,
5/6/2023,10:51,Triceps Extension,18,42.5,
5/6/2023,10:51,Triceps Extension,18,50,
5/6/2023,10:51,Triceps Extension,15,50,
5/6/2023,10:51,Triceps Extension,10,50,
5/6/2023,10:51,Triceps Extension,12,35,
5/5/2023,13:16,Flyes,15,115,
5/5/2023,13:16,Flyes,15,115,
5/5/2023,13:16,Flyes,12,115,
5/5/2023,13:16,Flyes,12,115,
5/5/2023,13:16,Flyes,12,115,
5/5/2023,13:16,Flyes,12,115,
5/5/2023,13:16,Flyes,10,115,
5/5/2023,13:09,Biceps Curl,12,100,
5/5/2023,13:09,Biceps Curl,12,100,
5/5/2023,13:09,Biceps Curl,10,100,
5/5/2023,13:09,Biceps Curl,10,100,
5/5/2023,13:09,Biceps Curl,10,100,
5/5/2023,13:09,Biceps Curl,10,100,
5/5/2023,13:09,Biceps Curl,10,100,
5/5/2023,12:49,Triceps Extension,25,42.5,
5/5/2023,12:49,Triceps Extension,20,42.5,
5/5/2023,12:49,Triceps Extension,20,50,
5/5/2023,12:49,Triceps Extension,20,50,
5/5/2023,12:49,Triceps Extension,15,50,
5/5/2023,12:49,Triceps Extension,12,50,
5/5/2023,12:49,Triceps Extension,16,50,
5/5/2023,12:49,Triceps Extension,10,42.8,
5/5/2023,12:42,Leg Curl,15,100,
5/5/2023,12:42,Leg Curl,10,100,
5/5/2023,12:42,Leg Curl,12,100,
5/5/2023,12:42,Leg Curl,12,115,
5/5/2023,12:42,Leg Curl,12,115,
5/5/2023,12:42,Leg Curl,12,130,
5/5/2023,12:42,Leg Curl,10,130,
5/5/2023,12:42,Leg Curl,12,130,
5/5/2023,12:42,Leg Curl,10,130,
5/5/2023,12:19,Leg Press,12,350,
5/5/2023,12:19,Leg Press,12,350,
5/5/2023,12:19,Leg Press,10,440,
5/5/2023,12:19,Leg Press,6,440,
5/3/2023,13:36,Flyes,15,115,
5/3/2023,13:36,Flyes,15,115,
5/3/2023,13:36,Flyes,12,115,
5/3/2023,13:36,Flyes,10,130,
5/3/2023,13:36,Flyes,8,130,
5/3/2023,13:36,Flyes,8,130,
5/3/2023,13:19,Seated Rows,12,120,
5/3/2023,13:19,Seated Rows,12,120,
5/3/2023,13:19,Seated Rows,8,160,
5/3/2023,13:19,Seated Rows,8,160,
5/3/2023,13:19,Seated Rows,8,160,
5/3/2023,13:19,Seated Rows,7,160,
5/3/2023,13:01,Shoulder Shrug,12,70,
5/3/2023,13:01,Shoulder Shrug,20,70,
5/3/2023,13:01,Shoulder Shrug,15,70,
5/3/2023,13:01,Shoulder Shrug,15,110,
5/3/2023,13:01,Shoulder Shrug,15,110,
5/3/2023,13:01,Shoulder Shrug,10,130,
5/3/2023,13:01,Shoulder Shrug,10,130,
5/3/2023,13:01,Shoulder Shrug,12,130,
5/3/2023,13:01,Shoulder Shrug,8,150,
5/3/2023,13:01,Shoulder Shrug,8,150,
5/3/2023,12:54,Seated Calf Raise,20,265,
5/3/2023,12:54,Seated Calf Raise,18,265,
5/3/2023,12:54,Seated Calf Raise,18,265,
5/3/2023,12:54,Seated Calf Raise,15,295,
5/3/2023,12:54,Seated Calf Raise,15,295,
5/3/2023,12:54,Seated Calf Raise,14,295,
5/3/2023,12:54,Seated Calf Raise,15,265,
5/3/2023,12:47,Triceps Extension,20,50,
5/3/2023,12:47,Triceps Extension,20,50,
5/3/2023,12:47,Triceps Extension,10,50,
5/3/2023,12:47,Triceps Extension,9,65,
5/3/2023,12:47,Triceps Extension,10,65,
5/3/2023,12:47,Triceps Extension,10,65,
5/3/2023,12:47,Triceps Extension,10,50,
5/2/2023,13:14,Flyes,15,115,
5/2/2023,13:14,Flyes,15,115,
5/2/2023,13:14,Flyes,12,115,
5/2/2023,13:14,Flyes,10,130,
5/2/2023,13:14,Flyes,10,130,
5/2/2023,13:14,Flyes,10,130,
5/2/2023,13:04,Seated Calf Raise,20,250,
5/2/2023,13:04,Seated Calf Raise,20,250,
5/2/2023,13:04,Seated Calf Raise,20,250,
5/2/2023,13:04,Seated Calf Raise,20,280,
5/2/2023,13:04,Seated Calf Raise,20,280,
5/2/2023,13:04,Seated Calf Raise,10,280,
5/2/2023,13:04,Seated Calf Raise,20,280,
5/2/2023,12:54,Leg Curl,15,115,
5/2/2023,12:54,Leg Curl,12,115,
5/2/2023,12:54,Leg Curl,12,115,
5/2/2023,12:54,Leg Curl,8,145,
5/2/2023,12:54,Leg Curl,12,145,
5/2/2023,12:54,Leg Curl,10,145,
5/2/2023,12:54,Leg Curl,15,145,
5/2/2023,12:54,Leg Curl,10,145,
5/2/2023,12:54,Leg Curl,20,100,
5/2/2023,12:31,Triceps Extension,15,50,
5/2/2023,12:31,Triceps Extension,20,50,
5/2/2023,12:31,Triceps Extension,20,50,
5/2/2023,12:31,Triceps Extension,16,57.5,
5/2/2023,12:31,Triceps Extension,10,57.5,
5/2/2023,12:31,Triceps Extension,13,57.5,
5/2/2023,12:31,Triceps Extension,8,65,
5/2/2023,12:31,Triceps Extension,10,65,
5/2/2023,12:31,Triceps Extension,8,65,
5/2/2023,12:31,Triceps Extension,12,50,
5/2/2023,12:20,Biceps Curl,10,100,
5/2/2023,12:20,Biceps Curl,10,100,
5/2/2023,12:20,Biceps Curl,10,115,
5/2/2023,12:20,Biceps Curl,8,115,
5/2/2023,12:20,Biceps Curl,6,130,
5/2/2023,12:20,Biceps Curl,5,130,
5/2/2023,12:20,Biceps Curl,7,100,
5/2/2023,12:20,Biceps Curl,7,100,
5/1/2023,10:12,Flyes,10,100,
5/1/2023,10:12,Flyes,12,100,
5/1/2023,10:12,Flyes,14,115,
